rep_id,seed,wall_time_s,of_initial,of_best,best_iter,improvement_abs,improvement_rel,convergence_iter,convergence_ratio,auc_best_so_far,n_evals_total,n_unique_x,n_gen,t_total_s,mean_t_per_iter_s
0,42,10.723284374980722,8.705650939136152,4.699993542654852,2,4.0056573964813005,0.4601215261772,2,1.0,0.12100070923029908,252,252,2,1.990261917875614,0.007558500001323409
1,43,10.89519687500433,9.339102585667135,5.457624371055403,1,3.8814782146117315,0.4156157595451083,1,0.5,0.0,252,252,2,2.0062365696649067,0.007460583001375198
2,44,10.697230749996379,9.65552979101588,6.219521306499114,1,3.4360084845167655,0.35585913553017534,1,0.5,0.0,252,252,2,1.9253662788833026,0.007870916990214027
3,45,10.519498167006532,10.239572748083068,5.0076396412251825,2,5.231933106857886,0.5109522863478212,2,1.0,0.13508646893428497,252,252,2,1.873755162669113,0.007594875001814216
4,46,10.90073404199211,10.663261085136138,5.175499789213745,2,5.487761295922393,0.5146419329047434,2,1.0,0.03230279954460096,252,252,2,2.005358212045394,0.007556374999694526
