algorithm,label,n_rep,best,mean,std,median,feasibility_rate,best_feasible_volume_m3,mean_max_violation,auc_mean,auc_std,conv_eval_mean,conv_eval_std,wall_time_mean_s,wall_time_std_s
ego,EGO + GPR,30,5.290449242620605,5.908996886421042,0.3028691446780621,6.003911581078564,0.8333333333333334,5.290449242620605,0.0029138503666557756,9.446808167514614,1.02021894320245,150.0,0.0,57.074848400001066,1.1004137012653443
ga,GA puro,30,5.681410303147324,7.864744942191951,1.108199255521393,7.578233216277193,0.5333333333333333,6.2718681694605385,0.025356423022828426,10.627225769343038,1.5505998656474842,150.0,0.0,0.021593420836143195,0.0001532346543704786
pso,PSO puro,30,5.7559198455471225,6.803538426536552,0.9612425333718021,6.517473006770766,0.6,5.952445027636904,0.03936566067354073,10.28886115538262,1.5355389774625225,150.0,0.0,0.02009561120066792,0.00014979511621901625
gwo,GWO puro,30,5.00860032568063,5.478008176366285,0.2462091816267007,5.4819629002619195,0.5,5.089837112147973,0.014233853946793159,9.040501320410401,1.1908122541586332,149.06666666666666,5.112077203381549,0.020209438803916176,0.00017250515454317545
random,Busca aleatória,30,6.5369499291563535,9.905687683952335,1.8814101545117907,9.809241070006681,0.3,6.5369499291563535,0.1496637524333059,11.867083735187741,1.8209519491071915,150.0,0.0,0.01749559163484567,0.00021090275453059077
