algorithm,rep,seed,best,n_evals,wall_time_s,viol_sob,viol_pun,viol_ten,viol_geo,volume_m3,max_violation,feasible
ego,0,42,5.812566969520522,150,58.083708457998,0.0,-0.313006163016774,-0.09617252787644526,-0.26036142524601535,5.812566969520522,0.0,True
ego,1,43,6.040043476309245,150,57.860069541988196,0.0,-0.3270448147403724,-0.03793398549734517,-0.14343850117066692,6.040043476309245,0.0,True
ego,2,44,5.290449242620605,150,58.30683308298467,0.0,-0.3143962047775777,-0.026325219907712083,-0.018021586832059677,5.290449242620605,0.0,True
ego,3,45,5.860527493408121,150,58.22690758301178,0.0,-0.34938486260497303,-0.006986624533603991,-0.3128539135518118,5.860527493408121,0.0,True
ego,4,46,6.0115729174454735,150,57.92468099997495,0.0,-0.38414924229066294,-0.08903050737755491,-0.5066869711212649,6.0115729174454735,0.0,True
ego,5,47,6.449839754737681,150,58.86744233299396,0.0,-0.34938486260497303,-0.1701024339359415,-0.4297995542497719,6.449839754737681,0.0,True
ego,6,48,5.710020272170372,150,59.356131999986246,0.0,-0.3128965661734051,0.05273550920883485,-0.8648629779799502,5.182665180082024,0.05273550920883485,False
ego,7,49,5.619448633697928,150,57.72206216599443,0.0,-0.34938486260497303,-0.04464375698719458,-0.3782592066932611,5.619448633697928,0.0,True
ego,8,50,6.0724481339794725,150,58.188881666981615,0.0,-0.4050017254871756,-0.02675065848962943,-0.8336468022597878,6.0724481339794725,0.0,True
ego,9,51,6.061114514157834,150,57.3980022080068,0.0,-0.36274439693960814,-0.09487830773846473,-0.11772821958542456,6.061114514157834,0.0,True
ego,10,52,5.496970142398608,150,56.913400082994485,0.0,-0.3270448147403724,-0.008599965591551517,-0.12018847532351495,5.496970142398608,0.0,True
ego,11,53,5.946396808678062,150,57.006725250015734,0.0,-0.3128965661734051,-0.036200251979848774,-0.8353336734162216,5.946396808678062,0.0,True
ego,12,54,6.044546766081254,150,56.35550804200466,0.0,-0.37261253386767834,-0.04656436095509775,-0.16796109714340224,6.044546766081254,0.0,True
ego,13,55,6.075463601027023,150,56.76427433398203,0.0,-0.3187108205458362,-0.039417242008544795,-0.23073365320878425,6.075463601027023,0.0,True
ego,14,56,5.804375790881935,150,57.718836875021225,0.0,-0.3424624073555309,-0.04514144995946234,-0.7005310639552691,5.804375790881935,0.0,True
ego,15,57,6.188336239554035,150,55.86504299999797,0.0,-0.34938486260497303,-0.09768033176375868,-0.4693947409123358,6.188336239554035,0.0,True
ego,16,58,6.130546212822679,150,56.8384391250147,0.0,-0.3433841759590769,-0.0906531499699198,-0.42802460671510767,6.130546212822679,0.0,True
ego,17,59,5.408040574432331,150,57.585137499991106,0.0,-0.313006163016774,0.005549396486552505,-0.26036142524601535,5.352546609566805,0.005549396486552505,False
ego,18,60,6.505062659337294,150,55.97769183301716,0.0,-0.32141979234175044,-0.18403398332098542,-0.4781859908001491,6.505062659337294,0.0,True
ego,19,61,5.507134276977736,150,57.87355774999014,0.0,-0.37303823101690003,0.0023076795040795073,-0.3796880264474498,5.48405748193694,0.0023076795040795073,False
ego,20,62,6.038839328019092,150,57.45065050001722,0.0,-0.3128965661734051,-0.12230204532271027,-0.47056787734146033,6.038839328019092,0.0,True
ego,21,63,6.285235820356838,150,55.75388237502193,0.0,-0.339642269293968,-0.10712328524648296,-0.26102115232875844,6.285235820356838,0.0,True
ego,22,64,5.551600407457452,150,54.93405820798944,0.0,-0.3128965661734051,0.01824653546379329,-0.14014138971941237,5.369135052819519,0.01824653546379329,False
ego,23,65,6.085788892244515,150,55.38340058398899,0.0,-0.3502882592289367,-0.07314252819004563,-0.2706823311585844,6.085788892244515,0.0,True
ego,24,66,6.202475977835398,150,56.817317333014216,0.0,-0.3295815288694328,-0.08919529014041949,-0.13477324516518574,6.202475977835398,0.0,True
ego,25,67,5.611501331570555,150,55.30047149999882,0.0,-0.33304086573393343,0.008576390336413109,-0.30125763818341933,5.525737428206423,0.008576390336413109,False
ego,26,68,5.676176775520876,150,56.37709962500958,0.0,-0.3200591510656873,-0.04762869149025728,-0.27025556540366025,5.676176775520876,0.0,True
ego,27,69,5.67558159755351,150,56.05042454201612,0.0,-0.325500742154903,-0.06067233126024141,-0.2278886933460078,5.67558159755351,0.0,True
ego,28,70,5.996250244711655,150,56.10376420902321,0.0,-0.3155649410205249,-0.11563593348062018,-0.046018904980108966,5.996250244711655,0.0,True
ego,29,71,6.111551737123177,150,57.24104929200257,0.0,-0.38043839379865607,-0.13859837261874242,-0.11428906007904893,6.111551737123177,0.0,True
ga,0,42,8.626933611632506,150,0.021979415992973372,0.0,-0.5254566545443063,0.08102120118573364,-0.15400232589200225,7.816721599775168,0.08102120118573364,False
ga,1,43,6.936671273945885,150,0.02153950001229532,0.0,-0.39012130858772465,-0.0776585264629095,-0.18081934837470626,6.936671273945885,0.0,True
ga,2,44,8.34706480340078,150,0.02147150001837872,0.0,-0.66984584577388,-0.06141047689334356,-0.36357565407926207,8.34706480340078,0.0,True
ga,3,45,8.255649303472051,150,0.02135845899465494,0.0,-0.5810450373146101,-0.13182080252403228,-0.34958543558808897,8.255649303472051,0.0,True
ga,4,46,8.812582476228732,150,0.02139837501454167,0.0,-0.3791714517145879,-0.005401229120623463,-0.1880147996268473,8.812582476228732,0.0,True
ga,5,47,9.90830335917391,150,0.021384082996519282,0.0,-0.6489000566212575,0.05916323664906331,0.08998170651263293,8.291062020920355,0.08998170651263293,False
ga,6,48,6.909594685734396,150,0.021501375013031065,0.0,-0.6373005014200688,0.008375751769736262,-0.30104060887231987,6.825837168037033,0.008375751769736262,False
ga,7,49,6.2718681694605385,150,0.02156454199575819,0.0,-0.45461460240216744,-0.016930898011820572,-0.03728032503455392,6.2718681694605385,0.0,True
ga,8,50,7.162798868847329,150,0.02146329201059416,0.0,-0.5590774733790274,0.0849289270011091,-0.1517620718792474,6.313509598836237,0.0849289270011091,False
ga,9,51,7.137368444769145,150,0.02146550000179559,0.0,-0.43938797377372685,-0.07603992045606345,-0.28494174074153844,7.137368444769145,0.0,True
ga,10,52,6.922335560481532,150,0.021512750012334436,0.0,-0.6096405687192951,0.03592258938092874,-0.2923760800862285,6.563109666672244,0.03592258938092874,False
ga,11,53,8.71475805087872,150,0.021513333020266145,0.0,-0.4729753093969723,-0.18048539910456496,-0.592363031462815,8.71475805087872,0.0,True
ga,12,54,8.166544536507837,150,0.021524333977140486,0.0,-0.38975679365610694,-0.114184900356744,-0.6584877562964349,8.166544536507837,0.0,True
