,ego,ga,pso,gwo,random
ego,,5.587935447692871e-08,9.313225746154785e-08,2.3983418941497803e-05,1.862645149230957e-08
ga,5.587935447692871e-08,,0.0005054883658885956,1.862645149230957e-08,8.815154433250427e-05
pso,9.313225746154785e-08,0.0005054883658885956,,2.60770320892334e-08,6.556510925292969e-07
gwo,2.3983418941497803e-05,1.862645149230957e-08,2.60770320892334e-08,,1.862645149230957e-08
random,1.862645149230957e-08,8.815154433250427e-05,6.556510925292969e-07,1.862645149230957e-08,
