,ego,ga,pso,gwo,random
ego,,2.60770320892334e-08,6.51925802230835e-08,1.0,1.862645149230957e-08
ga,2.60770320892334e-08,,0.002188805490732193,1.862645149230957e-08,0.31589534878730774
pso,6.51925802230835e-08,0.002188805490732193,,3.3527612686157227e-08,9.395182132720947e-06
gwo,1.0,1.862645149230957e-08,3.3527612686157227e-08,,1.862645149230957e-08
random,1.862645149230957e-08,0.31589534878730774,9.395182132720947e-06,1.862645149230957e-08,
