algorithm,rep,seed,best,n_evals,wall_time_s,viol_sob,viol_pun,viol_ten,viol_geo,volume_m3,max_violation,feasible
ego,0,42,3.236906298100214,150,69.3362429580011,0.0,-0.38584481390604597,0.00047666338837371036,-0.12888167138890716,3.232139664216477,0.00047666338837371036,False
ego,1,43,3.2794819541042,150,70.63954812500742,0.0,-0.38475667309290584,-0.011410089287698821,-0.16167915918316655,3.2794819541042,0.0,True
ego,2,44,3.317358858184884,150,71.14653791699675,0.0,-0.4039815192749886,-0.00269129833862225,-0.14347153360219056,3.317358858184884,0.0,True
ego,3,45,3.2350701249775557,150,71.7938747080043,0.0,-0.37425333134298,-0.023497567277162457,-0.09331644399175043,3.2350701249775557,0.0,True
ego,4,46,3.236906298100214,150,70.90570829098579,0.0,-0.38584481390604597,0.00047666338837371036,-0.12888167138890716,3.232139664216477,0.00047666338837371036,False
ego,5,47,3.2834988147646658,150,72.88912070900551,0.0,-0.373363399277826,-0.036177177322808673,-0.12065764404750934,3.2834988147646658,0.0,True
ego,6,48,3.3061306168947038,150,73.11818720801966,0.0,-0.3886340574981043,-0.009418276847893758,-0.19251756368370798,3.3061306168947038,0.0,True
ego,7,49,3.3136440082500274,150,71.2355496250093,0.0,-0.3789493983374679,-0.037758114356673644,-0.12932162110968082,3.3136440082500274,0.0,True
ego,8,50,3.327260017553459,150,71.0786273329868,0.0,-0.381213140021307,-0.00550281344337189,-0.2986844073566093,3.327260017553459,0.0,True
ego,9,51,3.3146560935125833,150,69.89492625001003,0.0,-0.4056658399221328,0.0017567009325003546,-0.11899784169003591,3.2970890841875797,0.0017567009325003546,False
ego,10,52,3.5389613698316027,150,70.39363754200167,0.0,-0.43241883765933664,-0.030166484036743713,-0.18637504820421413,3.5389613698316027,0.0,True
ego,11,53,3.2731635903058254,150,69.49496033298783,0.0,-0.38086487728368323,-0.011189688789934427,-0.1767438386421798,3.2731635903058254,0.0,True
ego,12,54,3.1842137274815574,150,71.08712391700828,0.0,-0.373363399277826,-0.00013094304102312382,-0.12065764404750934,3.1842137274815574,0.0,True
ego,13,55,3.3510387782793143,150,72.5331550000119,0.0,-0.3764332640567748,-0.04267103411628481,-0.18552759721429957,3.3510387782793143,0.0,True
ego,14,56,3.2364194159053654,150,72.63376595900627,0.0,-0.3763998918481194,-0.032256074303720905,-0.04071600187749369,3.2364194159053654,0.0,True
ego,15,57,3.230407566779911,150,70.80089266601135,0.0,-0.3962824527216606,-0.0038245629836981543,-0.0410682163444791,3.230407566779911,0.0,True
ego,16,58,3.236906298100214,150,70.91113762499299,0.0,-0.38584481390604597,0.00047666338837371036,-0.12888167138890716,3.232139664216477,0.00047666338837371036,False
ego,17,59,3.3197144682292508,150,71.85799354099436,0.0,-0.374465783910613,-0.03804841981596374,-0.16708112781211937,3.3197144682292508,0.0,True
ego,18,60,3.318706933849783,150,72.58072683299542,0.0,-0.37714185791975063,-0.04449229581866765,-0.11596833530481132,3.318706933849783,0.0,True
ego,19,61,3.236906298100214,150,78.5682019169908,0.0,-0.38584481390604597,0.00047666338837371036,-0.12888167138890716,3.232139664216477,0.00047666338837371036,False
ego,20,62,3.205295614851195,150,73.90028095801244,0.0,-0.38584481390604597,-0.003531541627320167,-0.06448808889358659,3.205295614851195,0.0,True
ego,21,63,3.1860508829192478,150,72.71064420900075,0.0,-0.37503864002060483,-0.010113195950971599,-0.06738543127755037,3.1860508829192478,0.0,True
ego,22,64,3.294438504439068,150,72.02680179200252,0.0,-0.38086487728368323,-0.019186364480614837,-0.17516891147060853,3.294438504439068,0.0,True
ego,23,65,3.3160587410616045,150,73.32623933299328,0.0,-0.3751937097654783,-0.0382702667062389,-0.154938472437111,3.3160587410616045,0.0,True
ego,24,66,3.2913859429965435,150,72.41498329097521,0.0,-0.3868916668756417,-0.010427197960449552,-0.1733119036806745,3.2913859429965435,0.0,True
ego,25,67,3.3308096621430883,150,75.22670870798174,0.0,-0.38904954559636373,-0.028251769852952857,-0.14073245205044804,3.3308096621430883,0.0,True
ego,26,68,3.2857068598894457,150,74.63906258298084,0.0,-0.37883887855220966,-0.020689806399728616,-0.16563195928108043,3.2857068598894457,0.0,True
ego,27,69,3.259509932798492,150,72.63240050000604,0.0,-0.394457891392787,-0.01260403830971124,-0.06057391255271716,3.259509932798492,0.0,True
ego,28,70,3.3197144682292508,150,74.02104925000458,0.0,-0.374465783910613,-0.03804841981596374,-0.16708112781211937,3.3197144682292508,0.0,True
ego,29,71,3.214036120203269,150,74.47017666700413,0.0,-0.381213140021307,-0.024765690978825194,-0.009416805342968404,3.214036120203269,0.0,True
ga,0,42,4.191258345885666,150,0.020146416005445644,0.0,-0.5450941341076785,0.03917659488085268,-0.06035013560802205,3.79949239707714,0.03917659488085268,False
ga,1,43,4.411406591957474,150,0.01997033299994655,0.0,-0.575491212359365,0.03499262829958161,-0.14957628477451035,4.061480308961658,0.03499262829958161,False
ga,2,44,4.227221372354774,150,0.020378499990329146,0.0,-0.5868532361248483,-0.0027451107376461614,-0.09418025566705168,4.227221372354774,0.0,True
ga,3,45,3.9427262470289097,150,0.02002379097393714,0.0,-0.5397483738864047,0.000858612378751511,0.009287480262985426,3.8412653206115404,0.009287480262985426,False
ga,4,46,4.918393952677713,150,0.02179608299047686,0.0,-0.6006658776393876,-0.02630016037495464,0.06288367475819201,4.289557205095793,0.06288367475819201,False
ga,5,47,4.0587363921820305,150,0.02023525000549853,0.0,-0.5126061197603633,-0.09358433017605527,-0.03824989863911665,4.0587363921820305,0.0,True
ga,6,48,3.39072482808199,150,0.020174667006358504,0.0,-0.41468198693070935,0.0011812541214246686,-0.19511719388206905,3.3789122868677435,0.0011812541214246686,False
ga,7,49,3.8564072632511888,150,0.02044437499716878,0.0,-0.4205274435664007,-0.1561630635460215,0.005461778147997309,3.8017894817712157,0.005461778147997309,False
ga,8,50,3.5759144225600714,150,0.019921791012166068,0.0,-0.4608912636135828,0.014626654360036628,0.0018011869288738769,3.4116360096709664,0.014626654360036628,False
ga,9,51,3.7366595171318004,150,0.02022037500864826,0.0,-0.481860173096912,-0.030850093652106114,-0.1339645869087729,3.7366595171318004,0.0,True
ga,10,52,3.9568676409959678,150,0.019917249999707565,0.0,-0.4094244016220733,-0.17813500417481687,-0.17630045273845618,3.9568676409959678,0.0,True
ga,11,53,3.837768080954268,150,0.019881999993231148,0.0,-0.5112821054398545,-0.015423432986009344,-0.1335224955909855,3.837768080954268,0.0,True
ga,12,54,4.232596538077947,150,0.020173208002233878,0.0,-0.43862768713525724,-0.20892559142410494,-0.1668775278465695,4.232596538077947,0.0,True
ga,13,55,3.2893674481074693,150,0.020288833999074996,0.0,-0.4056658399221328,-0.014830781599876053,-0.029496444550991097,3.2893674481074693,0.0,True
ga,14,56,6.0866982688451285,150,0.021218374982709065,0.0,-0.7430608461154941,0.01233093228300941,-0.3142604986469797,5.963388946015034,0.01233093228300941,False
ga,15,57,4.484522934325811,150,0.02017129200976342,0.0,-0.605198795460696,-0.047564420631844184,-0.03030945528972806,4.484522934325811,0.0,True
ga,16,58,5.24441138619492,150,0.02204495799378492,0.0,-0.5756150591541729,-0.22999640477362182,-0.13411284434217707,5.24441138619492,0.0,True
ga,17,59,3.482052425338762,150,0.020081833004951477,0.0,-0.4133597623545938,0.01274406779057502,-0.2173101141961935,3.3546117474330117,0.01274406779057502,False
ga,18,60,6.627808952552017,150,0.01993066701106727,0.0,-0.7509221336668392,0.10768159566901891,-0.2257878718844144,5.550992995861828,0.10768159566901891,False
ga,19,61,3.7325871610558172,150,0.020418458007043228,0.0,-0.4750301535122676,0.015745820924582876,-0.15819655076600747,3.5751289518099885,0.015745820924582876,False
ga,20,62,3.5571001566709106,150,0.019954750023316592,0.0,-0.4451023392049417,-0.008020794524045027,0.015689613709475747,3.400204019576153,0.015689613709475747,False
ga,21,63,3.988762325431791,150,0.020020124997245148,0.0,-0.48796203635634183,-0.1124866189658782,-0.028881838099921175,3.988762325431791,0.0,True
ga,22,64,3.573004223673301,150,0.020021291013108566,0.0,-0.4507283959822146,-0.04293982653977957,-0.048741670902342715,3.573004223673301,0.0,True
ga,23,65,6.143054959858354,150,0.020075749984243885,0.0,-0.7567591728780518,-0.006694423164051666,-0.17324585812927995,6.143054959858354,0.0,True
ga,24,66,3.477901108231167,150,0.033242540986975655,0.0,-0.42582963409046193,-0.007035985235671172,-0.24617205097439765,3.477901108231167,0.0,True
ga,25,67,3.5798978419332776,150,0.02014683300512843,0.0,-0.457288100059812,-0.035846927807355766,-0.04830901160207435,3.5798978419332776,0.0,True
