algorithm,label,n_rep,best,mean,std,median,feasibility_rate,best_feasible_volume_m3,mean_max_violation,auc_mean,auc_std,conv_eval_mean,conv_eval_std,wall_time_mean_s,wall_time_std_s
ego,EGO + GPR,30,3.1842137274815574,3.2826786086945585,0.06686595154106549,3.2846028373270557,0.8333333333333334,3.1842137274815574,0.00012211181619983986,4.20846299696982,0.3482888207492347,150.0,0.0,72.2756088582663,1.9212883748836833
ga,GA puro,30,3.2893674481074693,4.3167242249712094,0.9336190913780372,3.9728149832138797,0.5666666666666667,3.2893674481074693,0.011487505306437613,5.347921492707945,1.1862957663558737,150.0,0.0,0.02072607213340234,0.002418263207139953
pso,PSO puro,30,3.3356193841485426,3.690910111202833,0.4236760999632812,3.5617850546095093,0.6333333333333333,3.3626853257224134,0.015198845522660558,4.924083229811337,0.7425758650384958,150.0,0.0,0.018566262665747974,0.0003282881036881047
gwo,GWO puro,30,3.1555879019081394,3.2869047090024703,0.0915449023293286,3.2782322023424633,0.6333333333333333,3.1555879019081394,0.006240762414079981,4.523096076590831,0.5512390894735235,149.83333333333334,0.9128709291752769,0.01891265969898086,0.0004919464658978662
random,Busca aleatória,30,3.542081568820948,4.44954133843998,0.6705596486466991,4.287165426057836,0.4666666666666667,3.542081568820948,0.040450141539823514,5.461191988005197,0.8911813213853043,150.0,0.0,0.01610919167093622,0.0005936197869230798
