rep_id,seed,wall_time_s,of_initial,of_best,best_iter,improvement_abs,improvement_rel,convergence_iter,convergence_ratio,auc_best_so_far,n_evals_total,n_unique_x,n_gen,t_total_s,mean_t_per_iter_s
0,42,91.0609698749904,8.705650939136152,4.462374480027442,20,4.24327645910871,0.4874163332270893,20,1.0,0.06053713310740309,270,270,20,2.08944129984593,0.008129785551864189
1,43,90.44774770800723,9.339102585667135,4.47035388128113,10,4.868748704386005,0.5213293953808954,10,0.5,0.025511019230710964,270,270,20,2.055447462713346,0.007662233199516777
2,44,90.57683891698252,9.65552979101588,4.62022537809962,19,5.03530441291626,0.5214943687089473,19,0.95,0.23581093567450137,270,270,20,2.1019224560295697,0.007883835301618092
3,45,90.29994654198526,10.239572748083068,4.563681686110446,14,5.675891061972623,0.5543093644249166,14,0.7,0.04741843088544152,270,270,20,2.113370515173301,0.007720660498307552
4,46,97.6005158330081,10.663261085136138,4.511301161888342,7,6.151959923247796,0.5769304412721555,7,0.35,0.03276972363423364,270,270,20,2.0792467512364965,0.008527304301969707
