rep_id,seed,wall_time_s,of_initial,of_best,best_iter,improvement_abs,improvement_rel,convergence_iter,convergence_ratio,auc_best_so_far,n_evals_total,n_unique_x,n_gen,t_total_s,mean_t_per_iter_s
0,42,13.022334083012538,15.584627505893323,6.408109577896848,1,9.176517927996475,0.5888185601180635,1,0.5,0.0,102,102,2,1.0281225839280523,0.008469021006021649
1,43,9.322658000019146,11.61787296006278,6.482960406043627,1,5.134912554019152,0.4419838787763268,1,0.5,0.0,102,102,2,0.7992064148711506,0.0077605209953617305
2,44,9.307992207992356,10.96756915073679,5.229262963611397,1,5.738306187125392,0.5232067478452962,1,0.5,0.0,102,102,2,0.8942488790780772,0.007788603994413279
3,45,9.163927707995754,12.511573763625773,6.469101434048612,2,6.04247232957716,0.4829506218589476,2,1.0,0.0052857021878074326,102,102,2,0.7802115810918622,0.007754375008516945
4,46,9.549868708010763,9.283574917099862,5.8600203139309555,1,3.423554603168907,0.3687754592105351,1,0.5,0.0,102,102,2,0.8134560019243509,0.009140228998148814
