case,scenario,algorithm,label,n_rep,best,mean,std,median,feasibility_rate,best_feasible_volume_m3,mean_max_violation,auc_mean,auc_std,conv_eval_mean,conv_eval_std,wall_time_mean_s,wall_time_std_s
caso1_um,S1_orcamento_igual,ego,EGO + GPR,30,3.1842137274815574,3.2826786086945585,0.0668659515410654,3.2846028373270557,0.8333333333333334,3.1842137274815574,0.0001221118161998,4.20846299696982,0.3482888207492347,150.0,0.0,72.2756088582663,1.921288374883683
caso1_um,S1_orcamento_igual,ga,GA puro,30,3.2893674481074693,4.3167242249712094,0.9336190913780372,3.97281498321388,0.5666666666666667,3.2893674481074693,0.0114875053064376,5.347921492707945,1.1862957663558735,150.0,0.0,0.0207260721334023,0.0024182632071399
caso1_um,S1_orcamento_igual,pso,PSO puro,30,3.335619384148542,3.690910111202833,0.4236760999632812,3.5617850546095093,0.6333333333333333,3.3626853257224134,0.0151988455226605,4.924083229811337,0.7425758650384958,150.0,0.0,0.0185662626657479,0.0003282881036881
caso1_um,S1_orcamento_igual,gwo,GWO puro,30,3.155587901908139,3.2869047090024703,0.0915449023293286,3.2782322023424633,0.6333333333333333,3.155587901908139,0.0062407624140799,4.523096076590831,0.5512390894735235,149.83333333333334,0.9128709291752768,0.0189126596989808,0.0004919464658978
caso1_um,S1_orcamento_igual,random,Busca aleatória,30,3.542081568820948,4.44954133843998,0.6705596486466991,4.287165426057836,0.4666666666666667,3.542081568820948,0.0404501415398235,5.461191988005197,0.8911813213853043,150.0,0.0,0.0161091916709362,0.000593619786923
caso1_um,S1_orcamento_igual,cbo,CBO (ECI),30,3.158876701497041,3.233159809378634,0.0469445917830319,3.228251571719597,0.6333333333333333,3.158876701497041,0.0041692855928724,4.180751856777108,0.3472517806136394,145.0,15.319584040450112,115.9180604292662,3.962030274393096
caso1_um,S2_orcamento_estendido,ga,GA puro,30,3.134304464983417,3.3516902726504942,0.1889070340828136,3.2802661970911196,0.6,3.1451321133349044,0.0018833476513004,3.6965628598482314,0.3456405625439916,3000.0,0.0,0.4040554958647893,0.0038484295991791
caso1_um,S2_orcamento_estendido,pso,PSO puro,30,3.108826473070605,3.1152563141316434,0.0235131954422845,3.109303555146283,0.6,3.108826473070605,8.321072311197793e-06,3.27452904360689,0.0672249901880196,2100.133333333333,812.8548979107348,0.3570165569292536,0.0029271455297878
caso1_um,S2_orcamento_estendido,gwo,GWO puro,30,3.1101423358010236,3.118314250997169,0.0043123210141092,3.11769801387024,0.5666666666666667,3.1101423358010236,0.0002101471586262,3.233639023283793,0.0361801726068633,2996.766666666667,12.555211401379635,0.3749171918015539,0.0085090213636193
caso1_um,S2_orcamento_estendido,random,Busca aleatória,30,3.1285138756954853,3.4311327420345705,0.1121591207877065,3.4571088448289258,0.6,3.1285138756954853,0.0084726026447384,3.704888269362373,0.162947709504492,3000.0,0.0,0.3130830376011241,0.0025132668798342
