kernel_id,kernel_repr,penalty,seed,n_train,n_test,r2,mae,rmse,fit_time_s
k00,1**2 * RBF(length_scale=1),10.0,101,630,270,0.9094133607696864,1.931247472365512,2.5843430542595347,0.4358962499973131
k01,1**2 * RBF(length_scale=1) + RBF(length_scale=0.3),10.0,101,630,270,0.9130137734901668,1.8848606579542957,2.532464316871006,1.4249054579995573
k02,1**2 * RBF(length_scale=1) * RBF(length_scale=0.5),10.0,101,630,270,0.9094133555102208,1.9312475283114887,2.5843431292830883,1.2348119590023998
k03,"1**2 * Matern(length_scale=1, nu=0.5)",10.0,101,630,270,0.8500612575242565,2.281276154106031,3.3248726927653185,0.7834355840022909
k04,"1**2 * Matern(length_scale=1, nu=1.5)",10.0,101,630,270,0.9067379975332136,1.8724903321552515,2.622228040166782,0.8232082499889657
k05,"1**2 * Matern(length_scale=1, nu=2.5)",10.0,101,630,270,0.9125802421404828,1.8676203020657025,2.5387672578891083,0.9257463750109308
k06,"1**2 * Matern(length_scale=1, nu=1.5) + Matern(length_scale=0.3, nu=2.5)",10.0,101,630,270,0.9126732999517644,1.8650917951622683,2.537415646789461,1.7996514169935836
k07,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",10.0,101,630,270,0.9157357642390396,1.8460414288921303,2.492526200658102,1.8541301660006864
k08,"1**2 * RationalQuadratic(alpha=0.1, length_scale=1)",10.0,101,630,270,0.9157357642390396,1.8460414288921303,2.492526200658102,1.572574458012241
k09,"1**2 * RationalQuadratic(alpha=10, length_scale=1)",10.0,101,630,270,0.9157357642390396,1.8460414288921303,2.492526200658102,1.8201423330028776
k10,1**2 * DotProduct(sigma_0=1) + RBF(length_scale=1),10.0,101,630,270,0.9180934926566424,1.8048541497633104,2.4574081405457155,2.0134889999899315
k11,"1**2 * DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)",10.0,101,630,270,0.906272584576932,1.8588447203951524,2.628762856439166,2.1167617089959094
k12,1**2 * DotProduct(sigma_0=0.1) + RBF(length_scale=1),10.0,101,630,270,0.9180934926566424,1.8048541497633104,2.4574081405457155,2.0872477079974487
k13,1**2 * DotProduct(sigma_0=1),10.0,101,630,270,0.3747675448610976,5.15297219032016,6.7895164654960345,1.0790688749984838
k14,"1**2 * ExpSineSquared(length_scale=1, periodicity=1)",10.0,101,630,270,-0.0061999261126877,6.608866478141666,8.61311467764981,0.4359176250000018
k15,"1**2 * RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1)",10.0,101,630,270,0.9170527315937896,1.825787417755253,2.4729716251942615,1.3055814580002334
k16,"1**2 * Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1)",10.0,101,630,270,0.9067377444182252,1.8724895852644423,2.62223159855472,1.2397002910001902
k17,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-12),10.0,101,630,270,0.909413409016684,1.931247074235252,2.584342366040991,0.8587762920069508
k18,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1e-12)",10.0,101,630,270,0.9125802990465848,1.8676196332064003,2.538766431580641,1.1609886669903062
k19,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-12)",10.0,101,630,270,0.9157357430903592,1.8460416727721656,2.4925265134458225,1.8910741250001593
k20,"1**2 * Matern(length_scale=1, nu=2.5)",10.0,101,630,270,0.9125802625011786,1.8676200593075496,2.5387669622404356,0.7433658329973696
k00,1**2 * RBF(length_scale=1),1000000.0,101,630,270,0.9048565725318488,193055.8416869764,259143.86845819652,0.7776673329935875
