rep_id,seed,wall_time_s,of_initial,of_best,best_iter,improvement_abs,improvement_rel,convergence_iter,convergence_ratio,auc_best_so_far,n_evals_total,n_unique_x,n_gen,t_total_s,mean_t_per_iter_s
0,42,13.827488249982707,9.461912084793806,5.278641652202894,2,4.183270432590912,0.44211681477297027,2,1.0,0.01870799516428827,502,502,2,3.910720805200981,0.007567645487142727
1,43,14.03842170801363,7.97391487660791,4.88576599162481,2,3.0881488849831005,0.3872813959981466,2,1.0,0.1260032359625187,502,502,2,4.08440056242398,0.007988271012436599
2,44,14.069368791999295,9.948524217166565,5.195235896351302,2,4.753288320815263,0.47778828467977985,2,1.0,0.03211019554741152,502,502,2,3.9887514912697952,0.007568270491901785
3,45,13.78704529197421,11.188345466438593,5.929751310392272,2,5.25859415604632,0.4700064162141218,2,1.0,0.013690042463673809,502,502,2,3.9674736210145056,0.007662541509489529
4,46,14.121699166018516,9.123052538276173,5.717001710442622,1,3.4060508278335515,0.3733455237206312,1,0.5,0.0,502,502,2,3.8873689600732177,0.007691645994782448
