rep_id,seed,wall_time_s,of_initial,of_best,best_iter,improvement_abs,improvement_rel,convergence_iter,convergence_ratio,auc_best_so_far,n_evals_total,n_unique_x,n_gen,t_total_s,mean_t_per_iter_s
0,42,10.849276041990379,8.705650939136152,4.699993542654852,2,4.0056573964813005,0.4601215261772,2,1.0,0.12100070923029908,252,252,2,2.1350802069646306,0.007971416504005902
1,43,11.428555708000204,9.339102585667135,5.457624371055403,1,3.8814782146117315,0.4156157595451083,1,0.5,0.0,252,252,2,2.044797552196542,0.008841021000989713
2,44,11.18063129199436,9.65552979101588,6.219521306499114,1,3.4360084845167655,0.35585913553017534,1,0.5,0.0,252,252,2,2.169810378924012,0.008999458514153957
3,45,10.726842959003989,10.239572748083068,5.0076396412251825,2,5.231933106857886,0.5109522863478212,2,1.0,0.13508646893428497,252,252,2,1.9934500298695639,0.009626750004827045
4,46,10.973057666997192,10.663261085136138,5.175499789213745,2,5.487761295922393,0.5146419329047434,2,1.0,0.03230279954460096,252,252,2,1.9807207980775274,0.008906125498469919
