algorithm,label,n_rep,best,mean,std,median,feasibility_rate,best_feasible_volume_m3,mean_max_violation,auc_mean,auc_std,conv_eval_mean,conv_eval_std,wall_time_mean_s,wall_time_std_s
ga,GA puro,30,3.134304464983417,3.3516902726504942,0.18890703408281362,3.2802661970911196,0.6,3.1451321133349044,0.0018833476513004487,3.6965628598482314,0.34564056254399167,3000.0,0.0,0.40405549586478934,0.003848429599179152
pso,PSO puro,30,3.108826473070605,3.1152563141316434,0.0235131954422845,3.109303555146283,0.6,3.108826473070605,8.321072311197793e-06,3.27452904360689,0.06722499018801963,2100.133333333333,812.8548979107348,0.35701655692925366,0.0029271455297878277
gwo,GWO puro,30,3.1101423358010236,3.118314250997169,0.004312321014109203,3.11769801387024,0.5666666666666667,3.1101423358010236,0.00021014715862622453,3.233639023283793,0.03618017260686332,2996.766666666667,12.555211401379637,0.3749171918015539,0.00850902136361933
random,Busca aleatória,30,3.1285138756954853,3.4311327420345705,0.11215912078770653,3.4571088448289258,0.6,3.1285138756954853,0.008472602644738415,3.7048882693623724,0.16294770950449203,3000.0,0.0,0.31308303760112416,0.0025132668798342156
