,ga,pso,gwo,random
ga,,1.1175870895385742e-08,1.1175870895385742e-08,0.018529480323195457
pso,1.1175870895385742e-08,,0.00022116303443908691,1.1175870895385742e-08
gwo,1.1175870895385742e-08,0.00022116303443908691,,1.1175870895385742e-08
random,0.018529480323195457,1.1175870895385742e-08,1.1175870895385742e-08,
