algorithm,rep,seed,best,n_evals,wall_time_s,viol_sob,viol_pun,viol_ten,viol_geo,volume_m3,max_violation,feasible
ga,0,42,3.795127578302798,3000,0.4024325000063982,0.0,-0.505866721723039,0.009250648999503452,-0.09235280746924879,3.7026210883077635,0.009250648999503452,False
ga,1,43,3.230220902001747,3000,0.405320916994242,0.0,-0.3850107476554294,0.00021397926245958487,-0.1259046697359283,3.2280811093771513,0.00021397926245958487,False
ga,2,44,3.281933394857326,3000,0.4034283329965547,0.0,-0.3887625616030832,-0.021071250056520663,-0.09418025566705168,3.281933394857326,0.0,True
ga,3,45,3.341043299290883,3000,0.4046664169873111,0.0,-0.4253679382450286,0.0033336322326718015,-0.01708572286964216,3.307706976964165,0.0033336322326718015,False
ga,4,46,3.5692166824332268,3000,0.4041373750078492,0.0,-0.48119798787891965,0.0008183942750905615,-0.023678153980124517,3.561032739682321,0.0008183942750905615,False
ga,5,47,3.134304464983417,3000,0.4054602920077741,0.0,-0.37645481290217253,-0.0021940500586656864,0.00044745932742151773,3.1298298717092017,0.00044745932742151773,False
ga,6,48,3.39072482808199,3000,0.40613449999364093,0.0,-0.41468198693070935,0.0011812541214246686,-0.19511719388206905,3.3789122868677435,0.0011812541214246686,False
ga,7,49,3.3574743301425842,3000,0.403091417014366,0.0,-0.4205274435664007,-0.017606963173790957,-0.03250141957366259,3.3574743301425842,0.0,True
ga,8,50,3.464044417065531,3000,0.40397912499611266,0.0,-0.4608912636135828,-0.00041283696425176153,-0.011718399601900131,3.464044417065531,0.0,True
ga,9,51,3.4247317264976727,3000,0.4023993329901714,0.0,-0.43515466715894424,-0.004920125240876372,-0.10344930035238131,3.4247317264976727,0.0,True
ga,10,52,3.2554835468553645,3000,0.4044349579780828,0.0,-0.4094244016220733,0.0007137817987792339,-0.009755320892914643,3.248345728867572,0.0007137817987792339,False
ga,11,53,3.25223715066479,3000,0.40067487498163246,0.0,-0.3909709752892202,0.0022093852857556495,-0.1012229958862465,3.2301432978072335,0.0022093852857556495,False
ga,12,54,3.1651956032199524,3000,0.398826624994399,0.0,-0.3827222176520534,-0.004216832474473131,-0.012759889607218744,3.1651956032199524,0.0,True
ga,13,55,3.252040792701164,3000,0.39911470797960646,0.0,-0.40475182851546987,0.0009887063696720766,-0.02982454564839032,3.242153729004443,0.0009887063696720766,False
ga,14,56,3.448224015368954,3000,0.4072330420021899,0.0,-0.3936443740508052,-0.02829537469174548,-0.3142604986469797,3.448224015368954,0.0,True
ga,15,57,3.9860548420259914,3000,0.40634604200022295,0.0,-0.5564410675768314,-0.0020390904281525346,0.0032388119219517453,3.953666722806474,0.0032388119219517453,False
ga,16,58,3.177613608563513,3000,0.40392545799841173,0.0,-0.38566173158036676,-0.002440828556111052,-0.02392726604548967,3.177613608563513,0.0,True
ga,17,59,3.2785989993249127,3000,0.4044878749991767,0.0,-0.37562030802650526,-0.011795123060588164,-0.2173101141961935,3.2785989993249127,0.0,True
ga,18,60,3.4270718919632412,3000,0.40230970800621435,0.0,-0.41084372705349514,-0.014856765005138661,-0.2257878718844144,3.4270718919632412,0.0,True
ga,19,61,3.3851508608749277,3000,0.40596820900100283,0.0,-0.4175126981096967,-0.004761246249218698,-0.15819655076600747,3.3851508608749277,0.0,True
ga,20,62,3.338594144129301,3000,0.40189520799322054,0.0,-0.41173841675465817,-0.028694680200922806,-0.006479785147511796,3.338594144129301,0.0,True
ga,21,63,3.271723918607039,3000,0.4037283329817001,0.0,-0.39666654640190324,-0.025875498490902316,-0.005368140350606954,3.271723918607039,0.0,True
