algorithm,rep,seed,best,n_evals,wall_time_s,viol_sob,viol_pun,viol_ten,viol_geo,volume_m3,max_violation,feasible
ego,0,42,82.1679081523333,250,160.40904020800008,0.0,0.09064072793323619,0.3712622284965692,-0.014390767401672555,67.0773628556619,0.3712622284965692,False
ego,1,43,89.43747190947717,250,160.21038879200023,0.0,0.3530357335009131,0.4269294566395536,0.032454767489987546,63.825938661913526,0.4269294566395536,False
ego,2,44,82.3238503152487,250,158.9651881249997,0.0,0.42352452970324594,0.2842102457843878,0.04514132963907813,66.90275066113652,0.42352452970324594,False
cbo,0,42,115.37317960274723,250,164.66987574999985,0.0,-0.17123908840278013,-0.008898950235142866,-0.6650285970504335,115.37317960274723,0.0,True
cbo,1,43,128.8566150295203,250,148.91759750000028,0.0,-0.10269136192209094,0.30260558427735695,1.6377131053957328e-05,119.8642809983076,0.30260558427735695,False
cbo,2,44,144.90512087802378,250,153.81756937499995,0.0,0.24578931499306922,0.6025397146717129,-0.1715699022196029,129.85942460733185,0.6025397146717129,False
ga,0,42,111.43585130370504,250,0.043895249999877706,0.0,0.053813671665725815,0.359525144800956,-0.3106096066772801,104.58148850816804,0.359525144800956,False
ga,1,43,101.9818415385268,250,0.044008374999975786,0.0,-0.012839285860317462,0.6729208848461494,0.021989164758060342,89.62228706751387,0.6729208848461494,False
ga,2,44,109.38624449774093,250,0.043816333999984636,0.0,-0.18440861036404443,0.49866515423288194,-0.5789487432023981,99.53134296026164,0.49866515423288194,False
pso,0,42,124.6331195226877,250,0.04030454200028544,0.0,0.046730642393319366,0.9877607113570348,-0.28217310061944034,97.67951786015514,0.9877607113570348,False
pso,1,43,129.617318904142,250,0.040353625000079774,0.0,0.024128405897390515,0.702803276901131,-0.13315664093197066,109.47556702179256,0.702803276901131,False
pso,2,44,125.75283878340012,250,0.04077499999993961,0.0,-0.028166300798235566,0.40922070803767063,-0.1799693800711446,115.60826051845716,0.40922070803767063,False
gwo,0,42,115.99897615315672,250,0.0415405409999039,0.0,0.0453248586363304,0.4239550379999346,0.029057172739533677,103.02071967866374,0.4239550379999346,False
gwo,1,43,111.249024901193,250,0.041280249999999796,0.0,-0.25377946896579706,0.37129272311026784,-0.3098416305278644,98.48137385078209,0.37129272311026784,False
gwo,2,44,111.73528342111658,250,0.04123145800031125,0.0,0.024491568087830595,0.17267278209128833,-0.1594202898550725,106.04588930355564,0.17267278209128833,False
random,0,42,147.82737552774333,250,0.03546199999982491,0.0,0.09288808698510964,1.3705571361243183,0.00024718378983790146,108.88920760615684,1.3705571361243183,False
random,1,43,139.79896407279483,250,0.0355202079999799,0.0,-0.24536330957946406,0.7645970323790272,-0.3128473510965706,116.87170522813288,0.7645970323790272,False
random,2,44,137.30900473826594,250,0.03521816599959493,0.0,-0.24834424422562706,0.736794628513709,-0.145049662356749,116.5798129329042,0.736794628513709,False
