algorithm,label,n_rep,best,mean,std,median,feasibility_rate,best_feasible_volume_m3,mean_max_violation,auc_mean,auc_std,conv_eval_mean,conv_eval_std,wall_time_mean_s,wall_time_std_s
ego,EGO + GPR,3,82.1679081523333,84.64307679235306,4.152800006486144,82.3238503152487,0.0,,0.40723873827978957,128.70252401622278,6.133384734529779,245.0,8.660254037844387,159.86153904166667,0.782591413591385
cbo,CBO (ECI),3,115.37317960274723,129.71163850343044,14.784525279064551,128.8566150295203,0.3333333333333333,115.37317960274723,0.30171509964968996,143.80168839234048,4.84364143064298,250.0,0.0,155.80168087500002,8.061395124274505
ga,GA puro,3,101.9818415385268,107.60131244665759,4.973335096317141,109.38624449774093,0.0,,0.5103703946266624,130.87112543855847,0.9375300350295653,250.0,0.0,0.04390665299994604,9.652697927169932e-05
pso,PSO puro,3,124.6331195226877,126.66775907007661,2.615027765961858,125.75283878340012,0.0,,0.6999282320986122,140.77114060459505,4.262903031678746,250.0,0.0,0.04047772233343494,0.0002586170788425405
gwo,GWO puro,3,111.249024901193,112.99442815848876,2.6133490632227048,111.73528342111658,0.0,,0.3226401810671636,144.95922703076164,4.518675022229086,250.0,0.0,0.041350749666738316,0.00016616475985292012
random,Busca aleatória,3,137.30900473826594,141.64511477960136,5.49683866785396,139.79896407279483,0.0,,0.9573162656723516,149.68070007802842,4.47747168765405,250.0,0.0,0.03540012466646658,0.0001602459364782528
