,ga,pso,gwo,random
ga,,5.103647708892822e-07,1.1175870895385742e-08,1.1175870895385742e-08
pso,5.103647708892822e-07,,0.00046010687947273254,1.1175870895385742e-08
gwo,1.1175870895385742e-08,0.00046010687947273254,,1.1175870895385742e-08
random,1.1175870895385742e-08,1.1175870895385742e-08,1.1175870895385742e-08,
