algorithm,label,n_rep,best,mean,std,median,feasibility_rate,best_feasible_volume_m3,mean_max_violation,auc_mean,auc_std,conv_eval_mean,conv_eval_std,wall_time_mean_s,wall_time_std_s
ga,GA puro,30,4.906336336505747,5.271408019084077,0.22968944250422457,5.191069286192105,0.5333333333333333,5.029358998017489,0.0016821677895429322,5.929691762765622,0.3905345821325407,3000.0,0.0,0.433998313966246,0.0029804368569503158
pso,PSO puro,30,4.769353009184545,4.944504186973921,0.1050654689681401,4.9268359615029915,0.4666666666666667,4.833683616264453,0.0004899976739961195,5.391229618023396,0.15015786979515994,2970.766666666667,160.1175609773436,0.38716699596552645,0.002184668014141609
gwo,GWO puro,30,4.775835120004778,4.866979127274629,0.05442893012978388,4.8553614237091285,0.5333333333333333,4.787485785761141,0.00108885510592757,5.299813009121971,0.10293885066214511,3000.0,0.0,0.4018650361026327,0.0024735425361989425
random,Busca aleatória,30,5.64159148968355,6.840625423323851,0.6804947921154344,6.828147027681052,0.4666666666666667,5.7735417107963745,0.028052680855031202,7.688410359998709,0.5778486892244409,3000.0,0.0,0.342489393101035,0.003160426135370095
