case,case_label,n_fund,dim,theta,volume_m3,max_violation,feasible,total_nfev,wall_time_s,protocol_gap_reduction_pct,g_sob,g_pun,g_ten,g_geo,protocol_best_algorithm,protocol_best_label,protocol_best_scenario,protocol_best_feasible_volume_m3
caso1_um,Caso 1,1,3,3.1088244712479827,3.1088244712479827,0.0,True,11124,1.224836207984481,6.439158440244583e-05,0.0,-0.3719858588222017,-5.48602274719201e-11,-6.4855232295713e-11,pso,PSO,S2_orcamento_estendido,3.108826473070605
caso2_dois,Caso 2,2,6,4.750747408009975,4.750747408009975,0.0,True,24588,2.6902903750014957,0.7673835368959784,0.0,-0.31263298382916627,-5.923073143065949e-11,-2.0281332169247435e-10,gwo,GWO,S2_orcamento_estendido,4.787485785761141
caso3_tres,Caso 3,3,9,2.1222521475695615,2.1222521475695615,0.0,True,35964,3.9624177500081714,2.0766743283050215,0.0,-0.32511537633212384,-4.5470072151942986e-11,-9.318545934888789e-12,gwo,GWO,S2_orcamento_estendido,2.1672590600984916
