algorithm,rep,seed,best,n_evals,wall_time_s,viol_sob,viol_pun,viol_ten,viol_geo,volume_m3,max_violation,feasible
cbo,0,42,5.3608385214120435,150,87.63284862501314,0.0,-0.3187929797214848,0.04182437476648326,-0.025820655783090896,4.942594773747212,0.04182437476648326,False
cbo,1,43,5.438920685349805,150,86.11238462498295,0.0,-0.3187929797214848,0.016266164970125008,-0.3583294370864947,5.276259035648555,0.016266164970125008,False
cbo,2,44,5.510065877708648,150,88.7124074579915,0.0,-0.3384238511954222,0.023041600269255946,-0.02059377268310425,5.279649875016088,0.023041600269255946,False
cbo,3,45,5.427494174618383,150,93.07205020799302,0.0,-0.35980820624357546,0.0060567309328320995,-0.14687209650511224,5.366926865290061,0.0060567309328320995,False
cbo,4,46,5.778748849833673,150,87.06012804200873,0.0,-0.3488783549019583,0.05820366163266866,-0.013573001459409983,5.196712233506986,0.05820366163266866,False
cbo,5,47,5.326315670301305,150,94.55949366601999,0.0,-0.34938486260497303,-0.01146830467224158,-0.012300866240698038,5.326315670301305,0.0,True
cbo,6,48,5.685316188394907,150,91.07585779202054,0.0,-0.35581364482765443,0.031882089159749105,-0.20446816199176054,5.3664952967974155,0.031882089159749105,False
cbo,7,49,5.157592613172206,150,88.69993070900091,0.0,-0.3466301932945236,-0.00574135636033668,-0.08723078934918083,5.157592613172206,0.0,True
cbo,8,50,5.322105414024113,150,88.35351700001047,0.0,-0.3187929797214848,0.022382406958901813,-0.12928729102474334,4.896145756445633,0.022382406958901813,False
cbo,9,51,5.57666545800186,150,87.04809762499644,0.0,-0.3628306463791475,-0.027132902139246795,-0.7399789544833477,5.57666545800186,0.0,True
cbo,10,52,5.504541643637233,150,94.33179233400733,0.0,-0.339642269293968,0.0030183098272835718,-0.21839066740197977,5.474358545364398,0.0030183098272835718,False
cbo,11,53,5.552759619421767,150,93.71697624999797,0.0,-0.325500742154903,0.012656856098841374,-0.041502058270356246,5.4261910584333535,0.012656856098841374,False
cbo,12,54,5.249262074976561,150,86.33572812500643,0.0,-0.33656012021958537,-0.0034024008558530827,-0.1397710179830025,5.249262074976561,0.0,True
cbo,13,55,5.1065453242996135,150,88.75341962499078,0.0,-0.33656012021958537,-0.0034024008558530827,-0.056996454594509416,5.1065453242996135,0.0,True
cbo,14,56,5.552126079562672,150,90.01479691598797,0.0,-0.325500742154903,0.058794614477634566,-0.2044391343423444,4.964179934786326,0.058794614477634566,False
cbo,15,57,5.41219432236731,150,86.63174804099253,0.0,-0.36979033961976304,0.00454588574446757,-0.5649072920705154,5.366735464922634,0.00454588574446757,False
cbo,16,58,5.309666263039253,150,88.02686745798565,0.0,-0.3187108205458362,0.0277077034412041,-0.4682613784469567,5.000931099503717,0.0277077034412041,False
cbo,17,59,5.134721417864377,150,89.84941200001049,0.0,-0.3295815288694328,-0.008625915126645567,-0.025581089354184572,5.134721417864377,0.0,True
cbo,18,60,5.443766586382282,150,85.70249804199557,0.0,-0.37261253386767834,-0.00939769806825963,-0.4174937913657948,5.443766586382282,0.0,True
cbo,19,61,5.268885532492826,150,92.21602366599836,0.0,-0.33008462258493587,0.0007238752597382714,-0.2168698137216558,5.261646779895443,0.0007238752597382714,False
cbo,20,62,5.157407900215258,150,90.20784966601059,0.0,-0.3128965661734051,-0.017608563052847193,-0.15018947801390392,5.157407900215258,0.0,True
cbo,21,63,4.959238629231921,150,92.24470754098729,0.0,-0.32258371403025743,0.003974527702007569,-0.08273850683953254,4.8993591492094835,0.003974527702007569,False
cbo,22,64,5.2987975686226045,150,84.51209770797868,0.0,-0.3628306463791475,-0.038521634261056925,-0.21097770204487376,5.2987975686226045,0.0,True
cbo,23,65,5.196264670162238,150,86.58473295799922,0.0,-0.3295815288694328,0.016470265485554192,-0.030992265704294475,5.031562015306696,0.016470265485554192,False
cbo,24,66,5.297573776251733,150,88.08014287499827,0.0,-0.37013376821036936,0.003497836825167022,-0.043948782538897335,5.262595408000062,0.003497836825167022,False
cbo,25,67,5.31354447695136,150,89.50069620800787,0.0,-0.3161817769290315,-0.06133089651586243,-0.003275002091174928,5.31354447695136,0.0,True
cbo,26,68,5.353172280312969,150,93.4958069169952,0.0,-0.325500742154903,0.051229025768710246,0.0007996737284241551,4.832885285341625,0.051229025768710246,False
cbo,27,69,5.302998170037993,150,89.9826441660116,0.0,-0.3154823704078047,0.03092088192901543,-0.08946582607301701,4.993789350747839,0.03092088192901543,False
cbo,28,70,5.420777516942106,150,89.05980145800277,0.0,-0.3323218269037961,0.03780550040642594,-0.09250751749552966,5.042722512877846,0.03780550040642594,False
cbo,29,71,5.282601073276641,150,90.43110308298492,0.0,-0.3161817769290315,-0.005204402402663066,-0.4816634321971942,5.282601073276641,0.0,True
