rep_id,seed,wall_time_s,of_initial,of_best,best_iter,improvement_abs,improvement_rel,convergence_iter,convergence_ratio,auc_best_so_far,n_evals_total,n_unique_x,n_gen,t_total_s,mean_t_per_iter_s
0,42,11.03978870800347,8.705650939136152,4.699993542654852,2,4.0056573964813005,0.4601215261772,2,1.0,0.12100070923029908,252,252,2,1.973148843011586,0.008310750010423362
1,43,10.89964429201791,9.339102585667135,5.457624371055403,1,3.8814782146117315,0.4156157595451083,1,0.5,0.0,252,252,2,1.9585156165703665,0.007601333505590446
2,44,10.901966666977387,9.65552979101588,6.219521306499114,1,3.4360084845167655,0.35585913553017534,1,0.5,0.0,252,252,2,1.9685811299132183,0.008082604501396418
3,45,11.514752999995835,10.239572748083068,5.0076396412251825,2,5.231933106857886,0.5109522863478212,2,1.0,0.13508646893428497,252,252,2,2.0095193248125724,0.008552790997782722
