,ga,pso,gwo,random
ga,,0.2710056286305189,1.1175870895385742e-08,1.1175870895385742e-08
pso,0.2710056286305189,,1.601874828338623e-07,1.1175870895385742e-08
gwo,1.1175870895385742e-08,1.601874828338623e-07,,1.1175870895385742e-08
random,1.1175870895385742e-08,1.1175870895385742e-08,1.1175870895385742e-08,
