algorithm,label,n_rep,best,mean,std,median,feasibility_rate,best_feasible_volume_m3,mean_max_violation,auc_mean,auc_std,conv_eval_mean,conv_eval_std,wall_time_mean_s,wall_time_std_s
ga,GA puro,30,2.288255235127021,2.4293201624178153,0.09468282387468546,2.421234612816323,0.6333333333333333,2.3312441363759726,0.0007255273554121852,3.1634611939314436,0.2081121361632904,3000.0,0.0,0.43889820136731333,0.0026915545174510985
pso,PSO puro,30,2.166461515054725,2.409029218625729,0.24218470465654637,2.3364197105365454,0.6,2.2029514504651484,0.0008437454034178192,3.268527447406312,0.2803686879877295,2987.766666666667,67.00472620146533,0.3924131431354908,0.002056016674129703
gwo,GWO puro,30,2.1672590600984916,2.1996348928120844,0.021675752120881988,2.1953392788088744,0.7,2.1672590600984916,0.0004756828147977659,2.793980790437259,0.06408029011537633,2996.0,21.908902300206645,0.40798740969912617,0.006190477751227108
random,Busca aleatória,30,4.651224665898285,5.991376128136424,0.6672112971800402,6.039467622878201,0.6333333333333333,4.651224665898285,0.025030981577912424,6.8871284254671545,0.5349508862324656,3000.0,0.0,0.34808036260365044,0.0034663572992770686
