mode,movable,dim,theta,volume_m3,max_violation,feasible,nfev,nit,success,wall_time_s,message,g_sob,g_pun,g_ten,g_geo,g_contain,g_boundary
individual_centered,False,6,8.648109210822955,4.750747413869484,0.23074315740631024,False,16364,358,False,7.360772250016453,Independent one-footing optima assembled at clustered centres.,0.23074315740631024,-0.3126329847391136,-2.8722579870077425e-11,-4.2574943570627966e-09,-3.649280877482397e-09,-0.44879579351453597
fixed_centers,False,6,4.9297031912078815,4.9297031912078815,0.0,True,16437,180,False,8.015398333984194,Maximum number of iterations has been exceeded.,0.0,-0.3134372874339565,-0.0004982721413924196,-0.22252039996028783,-0.16411829277465229,-0.48607158095318287
packing_offsets,True,10,4.525122339779852,4.525122339779852,0.0,True,39381,260,False,19.088843666017056,Maximum number of iterations has been exceeded.,0.0,-0.32435304119779595,-0.0003803140795065607,-0.2447481523327597,-0.17265768856274333,-0.48711001482517485
