mode,element,pillar_x_m,pillar_y_m,center_x_m,center_y_m,dx_m,dy_m,hx_m,hy_m,hz_m
individual_centered,P01,0.0,0.0,0.0,0.0,0.0,0.0,2.307225238912784,1.4000000051089931,0.6000000000281076
individual_centered,P02,2.0,0.0,2.0,0.0,0.0,0.0,2.7575276340357444,1.700000010027609,0.6000000005785429
fixed_centers,P01,0.0,0.0,0.0,0.0,0.0,0.0,1.63886295538976,2.0835705142809027,0.6000705721412316
fixed_centers,P02,2.0,0.0,2.0,0.0,0.0,0.0,2.358951702929156,2.0337805999404317,0.6004369204391182
packing_offsets,P01,0.0,0.0,-0.03958725001713907,0.004723412629302359,-0.03958725001713907,0.004723412629302359,1.7380217904151256,1.7748222400027427,0.6006533008498447
packing_offsets,P02,2.0,0.0,1.9581482276807387,0.005108841274905629,-0.041851772319261335,0.005108841274905629,2.1535683668890977,2.0671222284991395,0.6002888464275382
