,ego,ga,pso,gwo,random
ego,,1.862645149230957e-08,1.862645149230957e-08,3.982335329055786e-06,1.862645149230957e-08
ga,1.862645149230957e-08,,0.01283373311161995,5.21540641784668e-07,1.862645149230957e-08
pso,1.862645149230957e-08,0.01283373311161995,,1.862645149230957e-08,5.21540641784668e-07
gwo,3.982335329055786e-06,5.21540641784668e-07,1.862645149230957e-08,,1.862645149230957e-08
random,1.862645149230957e-08,1.862645149230957e-08,5.21540641784668e-07,1.862645149230957e-08,
