algorithm,label,n_rep,best,mean,std,median,feasibility_rate,best_feasible_volume_m3,mean_max_violation,auc_mean,auc_std,conv_eval_mean,conv_eval_std,wall_time_mean_s,wall_time_std_s
ego,EGO + GPR,30,2.940576729354804,3.3351009899400363,0.19453696365144393,3.2892257203723845,0.8333333333333334,2.940576729354804,0.003160839285441345,8.121461761252297,0.8862110166203855,148.9,6.024948132556828,39.514960113897295,1.626781318056249
ga,GA puro,30,3.8743912519657906,5.327463652083429,0.759393680883519,5.285543209180803,0.5333333333333333,3.8743912519657906,0.031224878107847544,8.660574025302015,1.191375398879883,150.0,0.0,0.021862849932707224,0.00022667484589283883
pso,PSO puro,30,4.180568934170408,6.200306987226881,1.420489304041871,6.1574758253976665,0.43333333333333335,4.180568934170408,0.06758665454121691,8.831847818620433,1.2717174946411811,150.0,0.0,0.02014462496736087,0.00019276829137607768
gwo,GWO puro,30,3.062505502803438,3.861712302472023,0.509444314398808,3.837180828290697,0.6,3.062505502803438,0.011490392326363608,7.594070873146615,0.964479137612678,150.0,0.0,0.020290040201507507,0.00027093684795246513
random,Busca aleatória,30,6.211424006627158,8.852618824886546,1.25382684423586,9.108422476429471,0.36666666666666664,6.211424006627158,0.06834318595342431,10.256805325898341,1.1167429015136563,150.0,0.0,0.01768126523141594,0.0002211089129115993
