rep_id,seed,wall_time_s,of_initial,of_best,best_iter,improvement_abs,improvement_rel,convergence_iter,convergence_ratio,auc_best_so_far,n_evals_total,n_unique_x,n_gen,t_total_s,mean_t_per_iter_s
0,42,24.65754575000028,15.584627505893323,4.814179299647131,18,10.770448206246192,0.6910943621959107,18,0.9,0.10017545581872837,120,120,20,1.227701078991231,0.01468975195002713
1,43,23.686445999999705,11.61787296006278,4.47381776353334,16,7.14405519652944,0.6149193764717182,16,0.8,0.19945675451661066,120,120,20,1.132544426003733,0.009217791800620035
2,44,23.397797000001447,10.96756915073679,4.720252055500908,15,6.247317095235881,0.5696172970850331,15,0.75,0.06617721196504082,120,120,20,1.2368708740068541,0.009198449999894364
3,45,25.66747691600176,12.511573763625773,5.630939193385858,15,6.8806345702399145,0.5499415741162487,15,0.75,0.040901117713896325,120,120,20,1.0571837949937617,0.00985479584978748
4,46,24.873431542000617,9.283574917099862,5.950408490994869,1,3.3331664261049934,0.35903910464119526,1,0.05,0.0,120,120,20,1.1943698749746545,0.00946336870019877
