rep_id,seed,wall_time_s,of_initial,of_best,best_iter,improvement_abs,improvement_rel,convergence_iter,convergence_ratio,auc_best_so_far,n_evals_total,n_unique_x,n_gen,t_total_s,mean_t_per_iter_s
0,42,18.741874083003495,8.705650939136152,4.699993542654852,2,4.0056573964813005,0.4601215261772,2,0.6666666666666666,0.06050035461514954,253,253,3,2.3412011599284597,0.010440374666359276
1,43,18.722125250002136,9.339102585667135,4.652314600485453,3,4.686787985181682,0.5018456476080012,3,1.0,0.12886913806152245,253,253,3,2.195023290842073,0.008054861003377786
2,44,18.35664037501556,9.65552979101588,6.02538824281469,3,3.6301415482011903,0.3759650300679415,3,1.0,0.04010857313138829,253,253,3,2.295910537795862,0.009495916669645036
3,45,19.137489625019953,10.239572748083068,5.0076396412251825,2,5.231933106857886,0.5109522863478212,2,0.6666666666666666,0.06754323446714249,253,253,3,2.3013380409392994,0.008633916993858293
4,46,18.713883624994196,10.663261085136138,5.175499789213745,2,5.487761295922393,0.5146419329047434,2,0.6666666666666666,0.01615139977230048,253,253,3,2.2305045809189323,0.009960833665293952
