rep_id,seed,wall_time_s,of_initial,of_best,best_iter,improvement_abs,improvement_rel,convergence_iter,convergence_ratio,auc_best_so_far,n_evals_total,n_unique_x,n_gen,t_total_s,mean_t_per_iter_s
0,42,30.96215604202007,8.705650939136152,4.699993542654852,2,4.0056573964813005,0.4601215261772,2,0.4,0.03025017730757477,255,255,5,2.928369787055999,0.008488524600397795
1,43,29.976893250015564,9.339102585667135,4.652314600485453,3,4.686787985181682,0.5018456476080012,3,0.6,0.06443456903076122,255,255,5,2.298100988235092,0.00843453339766711
2,44,29.978456209006254,9.65552979101588,5.859578766190296,5,3.795951024825584,0.39313751880891906,5,1.0,0.057398841424202776,255,255,5,2.242847123154206,0.010687958204653115
3,45,29.589817375002895,10.239572748083068,5.0076396412251825,2,5.231933106857886,0.5109522863478212,2,0.4,0.03377161723357124,255,255,5,2.4036059651116375,0.016939933196408675
4,46,29.18975612500799,10.663261085136138,5.175499789213745,2,5.487761295922393,0.5146419329047434,2,0.4,0.00807569988615024,255,255,5,2.263070666900603,0.008621950208907946
