algorithm,rep,seed,best,n_evals,wall_time_s,viol_sob,viol_pun,viol_ten,viol_geo,volume_m3,max_violation,feasible
cbo,0,42,3.2187136497434365,150,114.67449387500528,0.0,-0.3792428879823526,0.010027095420584553,-0.01798459857854917,3.118442695537591,0.010027095420584553,False
cbo,1,43,3.2251772460811168,150,114.73756454201066,0.0,-0.3763998918481194,-0.01957595752097907,-0.08176473150972186,3.2251772460811168,0.0,True
cbo,2,44,3.2517073931077833,150,116.11796995901386,0.0,-0.3723834205999409,0.010799137600992603,-0.10595924280572389,3.1437160170978573,0.010799137600992603,False
cbo,3,45,3.2517073931077833,150,122.70441412500804,0.0,-0.3723834205999409,0.010799137600992603,-0.10595924280572389,3.1437160170978573,0.010799137600992603,False
cbo,4,46,3.2031508261347605,150,112.69514887500554,0.0,-0.3789493983374679,-0.006973582662519573,0.005484176996601864,3.148309056168742,0.005484176996601864,False
cbo,5,47,3.3061502340917888,150,117.19737587502459,0.0,-0.3949276834640677,-0.035964143441655216,-0.024860258060862783,3.3061502340917888,0.0,True
cbo,6,48,3.17383485978222,150,120.47522333401139,0.0,-0.3771051082967458,-0.010574052949351098,-0.032047460198776134,3.17383485978222,0.0,True
cbo,7,49,3.256954608873193,150,119.59069904198986,0.0,-0.3745079266451373,0.016125987281254917,-0.03388942862080713,3.095694736060644,0.016125987281254917,False
cbo,8,50,3.302279767361901,150,111.49624862498604,0.0,-0.40289055947609875,-0.017505520249367468,-0.055739240137309576,3.302279767361901,0.0,True
cbo,9,51,3.177044195728863,150,113.42375891699339,0.0,-0.37425333134298,-0.006738495488304297,-0.07228073732191431,3.177044195728863,0.0,True
cbo,10,52,3.158876701497041,150,119.53117362500052,0.0,-0.38086487728368323,-0.0007271863429267889,-0.02889778389694264,3.158876701497041,0.0,True
cbo,11,53,3.316439664733116,150,111.15506608298165,0.0,-0.38660771717902265,0.014735247801178852,-0.08068942904823118,3.1690871867213275,0.014735247801178852,False
cbo,12,54,3.315221180153927,150,119.61952074998408,0.0,-0.3792428879823526,0.023003700325048726,-0.01798459857854917,3.08518417690344,0.023003700325048726,False
cbo,13,55,3.2049853002397586,150,121.09858533300576,0.0,-0.38243887546485744,-0.007984589389506414,-0.06439458026313605,3.2049853002397586,0.0,True
cbo,14,56,3.2251113638076103,150,117.65914575001807,0.0,-0.3788518558158803,0.009221236181298442,-0.04127760965378591,3.132899001994626,0.009221236181298442,False
cbo,15,57,3.3095145304202296,150,109.94974425001419,0.0,-0.3788518558158803,-0.04129760589348663,-0.10534808292971376,3.3095145304202296,0.0,True
cbo,16,58,3.2251772460811168,150,112.18801766700926,0.0,-0.3763998918481194,-0.01957595752097907,-0.08176473150972186,3.2251772460811168,0.0,True
cbo,17,59,3.1830336084881155,150,114.86535370899946,0.0,-0.3865771509052536,-0.0028981345798072544,-0.02543049907654482,3.1830336084881155,0.0,True
cbo,18,60,3.158876701497041,150,114.24581920800847,0.0,-0.38086487728368323,-0.0007271863429267889,-0.02889778389694264,3.158876701497041,0.0,True
cbo,19,61,3.231325897358078,150,120.71394237500499,0.0,-0.38904954559636373,-0.02273044008725411,-0.00020192590405510025,3.231325897358078,0.0,True
cbo,20,62,3.158876701497041,150,121.90258012499544,0.0,-0.38086487728368323,-0.0007271863429267889,-0.02889778389694264,3.158876701497041,0.0,True
cbo,21,63,3.2517073931077833,150,110.3292227499769,0.0,-0.3723834205999409,0.010799137600992603,-0.10595924280572389,3.1437160170978573,0.010799137600992603,False
cbo,22,64,3.2251113638076103,150,109.25243929200224,0.0,-0.3788518558158803,0.009221236181298442,-0.04127760965378591,3.132899001994626,0.009221236181298442,False
cbo,23,65,3.234224063719996,150,114.69365408399608,0.0,-0.39864252295771097,-0.009085951268744674,-0.009007625734724689,3.234224063719996,0.0,True
cbo,24,66,3.2049853002397586,150,111.45090195798548,0.0,-0.38243887546485744,-0.007984589389506414,-0.06439458026313605,3.2049853002397586,0.0,True
cbo,25,67,3.2127325283788477,150,118.35644704199512,0.0,-0.3868916668756417,0.0048624747959293835,-0.026549094057277456,3.164107780419554,0.0048624747959293835,False
cbo,26,68,3.234224063719996,150,121.55190299998503,0.0,-0.39864252295771097,-0.009085951268744674,-0.009007625734724689,3.234224063719996,0.0,True
cbo,27,69,3.254086385061603,150,116.21628358299495,0.0,-0.3908631197183806,-0.005099803492964239,-0.10890112141399833,3.254086385061603,0.0,True
cbo,28,70,3.289340049817524,150,113.19766620898736,0.0,-0.38243887546485744,-0.03181376430225735,-0.09491594456916985,3.289340049817524,0.0,True
cbo,29,71,3.234224063719996,150,116.45144891599193,0.0,-0.39864252295771097,-0.009085951268744674,-0.009007625734724689,3.234224063719996,0.0,True
